Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Raging Bull,(1980),129 min,8.1,90        ,"366,718",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Million Dollar Baby,(2004),132 min,8.1,86        ,"704,479",$100.49M,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
"Paris, Texas",(1984),145 min,8.1,81        ,"112,036",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
Gran Torino,(2008),116 min,8.1,72        ,"794,925",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
In the Mood for Love,(2000),98 min,8.1,87        ,"158,754",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Stalker,(1979),162 min,8.1,85        ,"139,619",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
My Neighbor Totoro,(1988),86 min,8.1,86        ,"358,108",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
The Red Shoes,(1948),135 min,8.1,0,"37,305",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
In the Name of the Father,(1993),133 min,8.1,84        ,"181,447",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Hachi: A Dog's Tale,(2009),93 min,8.1,0,"298,503",#236,A college professor bonds with an abandoned dog he takes into his home.
Network,(1976),121 min,8.1,83        ,"164,838",#222,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
Ben-Hur,(1959),212 min,8.1,90        ,"246,849",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
The Iron Giant,(1999),86 min,8.1,85        ,"213,497",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
The Seventh Seal,(1957),96 min,8.1,88        ,"191,786",#206,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Before Sunset,(2004),80 min,8.1,91        ,"277,137",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Wild Tales,(2014),122 min,8.1,77        ,"207,719",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
A Silent Voice: The Movie,(2016),130 min,8.1,78        ,"92,207",0,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Persona,(1966),83 min,8.1,86        ,"125,371",#246,A nurse is put in charge of a mute actress and finds that their personae are melding together.
The Third Man,(1949),93 min,8.1,97        ,"176,705",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
On the Waterfront,(1954),108 min,8.1,91        ,"159,884",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
The Bridge on the River Kwai,(1957),161 min,8.1,87        ,"227,375",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Amores Perros,(2000),154 min,8.1,83        ,"247,046",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Rebecca,(1940),130 min,8.1,86        ,"142,085",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.1,0,"59,737",0,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
Hotel Rwanda,(2004),121 min,8.1,79        ,"364,170",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"79,638",0,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
Paper Moon,(1973),102 min,8.1,77        ,"50,351",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
Wild Strawberries,(1957),91 min,8.1,88        ,"111,121",#193,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
It Happened One Night,(1934),105 min,8.1,87        ,"108,346",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
Mary and Max,(2009),92 min,8.1,0,"182,228",#204,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
The Best Years of Our Lives,(1946),170 min,8.1,93        ,"67,880",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
The Celebration,(1998),105 min,8.1,82        ,"90,771",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
PK,(2014),153 min,8.1,0,"194,634",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
All Quiet on the Western Front,(1930),152 min,8.1,91        ,"65,863",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
Fanny and Alexander,(1982),188 min,8.1,100        ,"65,782",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
The 400 Blows,(1959),99 min,8.1,0,"123,477",#244,"A young boy, left without attention, delves into a life of petty crime."
The Grapes of Wrath,(1940),129 min,8.1,96        ,"97,025",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Three Colors: Red,(1994),99 min,8.1,100        ,"107,045",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
A Woman Under the Influence,(1974),155 min,8.1,88        ,"27,200",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
Yi Yi: A One and a Two...,(2000),173 min,8.1,94        ,"26,719",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
Andrei Rublev,(1966),205 min,8.1,0,"55,578",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
The Message,(1976),177 min,8.1,0,"49,422",0,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
Underground,(1995),167 min,8.1,79        ,"59,901",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
Masaan,(2015),109 min,8.1,0,"29,651",0,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"117,653",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
The Battle of Algiers,(1966),121 min,8.1,96        ,"63,146",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Inherit the Wind,(1960),128 min,8.1,75        ,"31,743",0,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
Wolf Children,(2012),117 min,8.1,71        ,"47,411",0,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Farewell My Concubine,(1993),171 min,8.1,83        ,"31,257",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
Winter Sleep,(2014),196 min,8.1,88        ,"53,642",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"118,466",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
White Heat,(1949),114 min,8.1,89        ,"34,595",0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
The General,(1926),78 min,8.1,0,"94,907",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
The Hidden Fortress,(1958),126 min,8.1,89        ,"40,807",0,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
Throne of Blood,(1957),110 min,8.1,0,"54,242",0,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
Nights of Cabiria,(1957),110 min,8.1,0,"50,705",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
The Virgin Spring,(1960),89 min,8.1,0,"30,623",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
Dil Chahta Hai,(2001),183 min,8.1,0,"74,231",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
Ace in the Hole,(1951),111 min,8.1,72        ,"37,856",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
Talvar,(2015),132 min,8.1,0,"36,821",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
Rififi,(1955),118 min,8.1,97        ,"35,877",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
Barfi!,(2012),151 min,8.1,0,"84,538",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
Udaan,(2010),134 min,8.1,0,"46,137",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
Diabolique,(1955),117 min,8.1,0,"67,745",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
The Gold Rush,(1925),95 min,8.1,0,"115,008",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Autumn Sonata,(1978),99 min,8.1,0,"36,242",0,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
Bajrangi Bhaijaan,(2015),163 min,8.1,0,"92,977",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
A Wednesday,(2008),104 min,8.1,0,"80,604",0,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
Rang De Basanti,(2006),167 min,8.1,0,"120,903",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Kahaani,(2012),122 min,8.1,0,"64,370",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
Sholay,(1975),162 min,8.1,0,"57,461",0,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
Sunrise,(1927),94 min,8.1,95        ,"52,653",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
Raise the Red Lantern,(1991),125 min,8.1,0,"34,203",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
Time of the Gypsies,(1988),142 min,8.1,0,"31,890",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
Queen,(2013),146 min,8.1,0,"67,323",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
The Grand Illusion,(1937),113 min,8.1,0,"37,899",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
Article 15,(2019),130 min,8.1,0,"35,507",0,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
OMG: Oh My God!,(2012),125 min,8.1,0,"61,347",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Pink,(III) (2016),136 min,8.1,0,"46,760",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
Jean de Florette,(1986),120 min,8.1,0,"26,839",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
Munna Bhai M.B.B.S.,(2003),156 min,8.1,0,"85,231",0,A gangster sets out to fulfill his father's dream of becoming a doctor.
Tangerines,(2013),87 min,8.1,73        ,"47,788",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
Sarfarosh,(1999),174 min,8.1,0,"26,361",0,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
The Circus,(1928),72 min,8.1,90        ,"35,100",0,The Tramp finds work and the girl of his dreams at a circus.
Hera Pheri,(2000),156 min,8.1,0,"70,033",0,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
The Bandit,(1996),128 min,8.1,0,"71,136",0,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
Let's Go! India,(2007),153 min,8.1,68        ,"82,672",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
Black,(2005),122 min,8.1,0,"35,576",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
Her Sey Çok Güzel Olacak,(1998),107 min,8.1,0,"26,567",0,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
Anand,(1971),122 min,8.1,0,"34,619",0,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Mission: Impossible - Dead Reckoning Part One,(2023),163 min,8.0,81        ,"115,336",0,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Guardians of the Galaxy Vol. 3,(2023),150 min,8.0,64        ,"255,789",0,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Dune,(2021),155 min,8.0,74        ,"702,030",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Blade Runner 2049,(2017),164 min,8.0,81        ,"616,094",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
La La Land,(2016),128 min,8.0,94        ,"626,197",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,234,606",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
The Imitation Game,(2014),114 min,8.0,71        ,"797,098",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
The Revenant,(I) (2015),156 min,8.0,76        ,"837,467",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
The Martian,(2015),144 min,8.0,80        ,"888,627",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
Deadpool,(2016),108 min,8.0,65        ,"1,080,633",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
The Princess Bride,(1987),98 min,8.0,77        ,"438,779",$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
CODA,(2021),111 min,8.0,72        ,"150,088",0,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
Black Swan,(2010),108 min,8.0,79        ,"795,375",$106.95M,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
Donnie Darko,(2001),113 min,8.0,88        ,"825,858",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Rosemary's Baby,(1968),137 min,8.0,96        ,"225,531",0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
The Avengers,(2012),143 min,8.0,69        ,"1,426,752",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Her,(2013),126 min,8.0,91        ,"643,048",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
JFK,(1991),189 min,8.0,72        ,"163,784",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
Zootopia,(2016),108 min,8.0,78        ,"522,878",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
The Incredibles,(2004),115 min,8.0,90        ,"772,703",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
Sin City,(2005),124 min,8.0,74        ,"782,105",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
Casino Royale,(2006),144 min,8.0,80        ,"675,999",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Rain Man,(1988),133 min,8.0,65        ,"531,205",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
Scent of a Woman,(1992),156 min,8.0,59        ,"314,391",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
Magnolia,(1999),188 min,8.0,78        ,"321,329",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
Dances with Wolves,(1990),181 min,8.0,72        ,"279,629",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
Soul,(2020),100 min,8.0,83        ,"352,658",0,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
The Pursuit of Happyness,(2006),117 min,8.0,64        ,"537,681",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Big Fish,(2003),125 min,8.0,58        ,"450,277",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
Aladdin,(1992),90 min,8.0,86        ,"444,137",$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Groundhog Day,(1993),101 min,8.0,72        ,"657,572",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
12 Monkeys,(1995),129 min,8.0,74        ,"632,761",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
Planet of the Apes,(1968),112 min,8.0,79        ,"186,748",$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
Young Frankenstein,(1974),106 min,8.0,83        ,"163,982",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
Kill Bill: Vol. 2,(2004),137 min,8.0,83        ,"780,134",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
Perfect Blue,(1997),81 min,8.0,67        ,"86,171",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
The Graduate,(1967),106 min,8.0,83        ,"282,127",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
The King's Speech,(2010),118 min,8.0,88        ,"695,007",$138.80M,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
Blood Diamond,(2006),143 min,8.0,64        ,"568,674",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
Slumdog Millionaire,(2008),120 min,8.0,84        ,"862,499",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
The Invisible Guest,(2016),106 min,8.0,0,"184,941",0,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
Dog Day Afternoon,(1975),125 min,8.0,86        ,"266,239",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
Beauty and the Beast,(1991),84 min,8.0,95        ,"467,964",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Akira,(1988),124 min,8.0,67        ,"196,045",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
Do the Right Thing,(1989),120 min,8.0,93        ,"107,837",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
The Bourne Ultimatum,(2007),115 min,8.0,85        ,"647,247",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
Dogville,(2003),178 min,8.0,61        ,"154,171",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Life of Brian,(1979),94 min,8.0,77        ,"412,222",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
Papillon,(1973),151 min,8.0,58        ,"135,032",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
Lion,(2016),118 min,8.0,69        ,"244,090",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
Chungking Express,(1994),102 min,8.0,78        ,"89,510",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"222,053",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
Mommy,(I) (2014),139 min,8.0,74        ,"59,720",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
Annie Hall,(1977),93 min,8.0,92        ,"271,629",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
Ip Man,(2008),106 min,8.0,59        ,"229,686",0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
Sling Blade,(1996),135 min,8.0,84        ,"96,625",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
The Last Picture Show,(1971),118 min,8.0,93        ,"50,471",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
The Hustler,(1961),134 min,8.0,90        ,"84,758",$8.28M,An up-and-coming pool player plays a long-time champion in a single high-stakes match.
Rio Bravo,(1959),141 min,8.0,93        ,"65,798",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
Nausicaä of the Valley of the Wind,(1984),117 min,8.0,86        ,"175,690",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
Roman Holiday,(1953),118 min,8.0,78        ,"143,471",0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Solaris,(1972),167 min,8.0,93        ,"95,223",0,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
Castle in the Sky,(1986),125 min,8.0,78        ,"173,917",0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
Cinderella Man,(2005),144 min,8.0,69        ,"193,404",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
Gandhi,(1982),191 min,8.0,79        ,"236,983",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
The Night of the Hunter,(1955),92 min,8.0,97        ,"93,349",$0.65M,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
Fiddler on the Roof,(1971),181 min,8.0,67        ,"45,869",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"83,507",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
Mirror,(1975),107 min,8.0,82        ,"49,770",$0.18M,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
High Noon,(1952),85 min,8.0,89        ,"107,619",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
The Maltese Falcon,(1941),100 min,8.0,97        ,"163,206",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
La Dolce Vita,(1960),174 min,8.0,95        ,"76,044",$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
What Ever Happened to Baby Jane?,(1962),134 min,8.0,75        ,"59,352",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.
8½,(1963),138 min,8.0,93        ,"121,963",$0.05M,A harried movie director retreats into his memories and fantasies.
Wings of Desire,(1987),128 min,8.0,79        ,"73,964",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
The Straight Story,(1999),112 min,8.0,86        ,"93,836",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
